Date,Close
29/12/23,4769.83
30/11/23,4567.8
31/10/23,4193.8
29/09/23,4288.05
31/08/23,4507.66
31/07/23,4588.96
30/06/23,4450.38
31/05/23,4179.83
28/04/23,4169.48
31/03/23,4109.31
28/02/23,3970.15
31/01/23,4076.6
30/12/22,3839.5
30/11/22,4080.11
31/10/22,3871.98
30/09/22,3585.62
31/08/22,3955
29/07/22,4130.29
30/06/22,3785.38
31/05/22,4132.15
29/04/22,4131.93
31/03/22,4530.41
28/02/22,4373.94
31/01/22,4515.55
31/12/21,4766.18
30/11/21,4567
29/10/21,4605.38
30/09/21,4307.54
31/08/21,4522.68
30/07/21,4395.26
30/06/21,4297.5
31/05/21,4204.11
30/04/21,4181.17
31/03/21,3972.89
26/02/21,3811.15
29/01/21,3714.24
31/12/20,3756.07
30/11/20,3621.63
30/10/20,3269.96
30/09/20,3363
31/08/20,3500.31
31/07/20,3271.12
30/06/20,3100.29
29/05/20,3044.31
30/04/20,2912.43
31/03/20,2584.59
28/02/20,2954.22
31/01/20,3225.52
31/12/19,3230.78
29/11/19,3140.98
31/10/19,3037.56
30/09/19,2976.74
30/08/19,2926.46
31/07/19,2980.38
28/06/19,2941.76
31/05/19,2752.06
30/04/19,2945.83
29/03/19,2834.4
28/02/19,2784.49
31/01/19,2704.1
31/12/18,2506.85
30/11/18,2760.17
31/10/18,2711.74
28/09/18,2913.98
31/08/18,2901.52
31/07/18,2816.29
29/06/18,2718.37
31/05/18,2705.27
30/04/18,2648.05
30/03/18,2640.87
28/02/18,2713.83
31/01/18,2823.81
29/12/17,2673.61
30/11/17,2647.58
31/10/17,2575.26
29/09/17,2519.36
31/08/17,2471.65
31/07/17,2470.3
30/06/17,2423.41
31/05/17,2411.8
28/04/17,2384.2
31/03/17,2362.72
28/02/17,2363.64
31/01/17,2278.87
30/12/16,2238.83
30/11/16,2198.81
31/10/16,2126.15
30/09/16,2168.27
31/08/16,2170.95
29/07/16,2173.6
30/06/16,2098.86
31/05/16,2096.96
29/04/16,2065.3
31/03/16,2059.74
29/02/16,1932.23
29/01/16,1940.24
31/12/15,2043.94
30/11/15,2080.41
30/10/15,2079.36
30/09/15,1920.03
31/08/15,1972.18
31/07/15,2103.84
30/06/15,2063.11
29/05/15,2107.39
30/04/15,2085.51
31/03/15,2067.89
27/02/15,2104.5
30/01/15,1994.99
31/12/14,2058.9
